"Fecha,""Codigo"",""Concepto"",""Tipo"",""Documento"",""Oficina"",""Monto"",""Saldo"""
"02/05/2019,""445"",""COBRO IVA SERVICIOS CTES"",""D"",""382687835"",""TESORERIA"",""0.23"",""825,525.01"""
"02/05/2019,""325"",""DEPOSITO"",""C"",""382739699"",""AG. SUR"",""273.90"",""825,798.91"""
"02/05/2019,""397"",""SPI-CUR: 999-0-201 DEDUCCION: 840.99264"",""C"",""382790606"",""MATRIZ BANCO RUMINAHUI"",""126,687.48"",""952,486.39"""
"02/05/2019,""445"",""COMISION TRANSFERENCIAS INTERBANCARIAS"",""D"",""382790606"",""MATRIZ BANCO RUMINAHUI"",""0.27"",""952,486.12"""
"02/05/2019,""445"",""COBRO IVA"",""D"",""382790606"",""MATRIZ BANCO RUMINAHUI"",""0.03"",""952,486.09"""
"02/05/2019,""397"",""SPI-CUR: 999-0-4108 DEDUCCION: 840.99264"",""C"",""382790613"",""MATRIZ BANCO RUMINAHUI"",""361.15"",""952,847.24"""
"02/05/2019,""445"",""COMISION TRANSFERENCIAS INTERBANCARIAS"",""D"",""382790613"",""MATRIZ BANCO RUMINAHUI"",""0.27"",""952,846.97"""
"02/05/2019,""445"",""COBRO IVA"",""D"",""382790613"",""MATRIZ BANCO RUMINAHUI"",""0.03"",""952,846.94"""
"02/05/2019,""397"",""SPI-CUR: 999-0-583 DEDUCCION: 840.99264"",""C"",""382790616"",""MATRIZ BANCO RUMINAHUI"",""265.35"",""953,112.29"""
"02/05/2019,""445"",""COMISION TRANSFERENCIAS INTERBANCARIAS"",""D"",""382790616"",""MATRIZ BANCO RUMINAHUI"",""0.27"",""953,112.02"""
"02/05/2019,""445"",""COBRO IVA"",""D"",""382790616"",""MATRIZ BANCO RUMINAHUI"",""0.03"",""953,111.99"""
"02/05/2019,""397"",""SPI-CUR: 999-0-583 DEDUCCION: 840.99264"",""C"",""382790617"",""MATRIZ BANCO RUMINAHUI"",""499.72"",""953,611.71"""
"02/05/2019,""445"",""COMISION TRANSFERENCIAS INTERBANCARIAS"",""D"",""382790617"",""MATRIZ BANCO RUMINAHUI"",""0.27"",""953,611.44"""
