"Fecha,""Codigo"",""Concepto"",""Tipo"",""Documento"",""Oficina"",""Monto"",""Saldo"""
"28/05/2019,""001055"",""45965203-COSTO OPER CASH-PT-179170037600"",""D"",""0000592864"",""SERVICIOS CENTRALE(S)"",""0.36"",""142,736.17"""
"28/05/2019,""001055"",""45965072-COSTO IVA  CASH-PT-179170037600"",""D"",""0000592837"",""SERVICIOS CENTRALE(S)"",""0.04"",""142,736.53"""
"28/05/2019,""001055"",""45965072-COSTO OPER CASH-PT-179170037600"",""D"",""0000592828"",""SERVICIOS CENTRALE(S)"",""0.36"",""142,736.57"""
"28/05/2019,""001055"",""45964972-COSTO IVA  CASH-PT-179170037600"",""D"",""0000592809"",""SERVICIOS CENTRALE(S)"",""0.09"",""142,736.93"""
"28/05/2019,""001055"",""45964972-COSTO OPER CASH-PT-179170037600"",""D"",""0000592792"",""SERVICIOS CENTRALE(S)"",""0.71"",""142,737.02"""
"28/05/2019,""001055"",""45959554-COSTO IVA  CASH-PT-179170037600"",""D"",""0000592778"",""SERVICIOS CENTRALE(S)"",""0.04"",""142,737.73"""
"28/05/2019,""001055"",""45959554-COSTO OPER CASH-PT-179170037600"",""D"",""0000592767"",""SERVICIOS CENTRALE(S)"",""0.36"",""142,737.77"""
"28/05/2019,""001055"",""45959521-COSTO IVA  CASH-PT-179170037600"",""D"",""0000592736"",""SERVICIOS CENTRALE(S)"",""0.26"",""142,738.13"""
"28/05/2019,""001055"",""45959521-COSTO OPER CASH-PT-179170037600"",""D"",""0000592723"",""SERVICIOS CENTRALE(S)"",""2.14"",""142,738.39"""
"28/05/2019,""001055"",""45959515-COSTO IVA  CASH-PT-179170037600"",""D"",""0000592648"",""SERVICIOS CENTRALE(S)"",""0.04"",""142,740.53"""
"28/05/2019,""001055"",""45959515-COSTO OPER CASH-PT-179170037600"",""D"",""0000592603"",""SERVICIOS CENTRALE(S)"",""0.36"",""142,740.57"""
"28/05/2019,""001055"",""45879810-COSTO IVA  CASH-CB-179170037600"",""D"",""0000592583"",""SERVICIOS CENTRALE(S)"",""0.11"",""142,740.93"""
"28/05/2019,""001055"",""45879810-COSTO OPER CASH-CB-179170037600"",""D"",""0000592573"",""SERVICIOS CENTRALE(S)"",""0.89"",""142,741.04"""
"28/05/2019,""001055"",""45879810-COSTO IVA  CASH-CB-179170037600"",""D"",""0000592563"",""SERVICIOS CENTRALE(S)"",""4.13"",""142,741.93"""
"28/05/2019,""001055"",""45879810-COSTO OPER CASH-CB-179170037600"",""D"",""0000592543"",""SERVICIOS CENTRALE(S)"",""34.37"",""142,746.06"""
"27/05/2019,""001045"",""45879810-CAPREMCI-CB-"",""C"",""0065177034"",""SERVICIOS CENTRALE(S)"",""0.70"",""142,780.43"""
"27/05/2019,""001055"",""45967062-CONECEL        -DP-1.16635599"",""D"",""0051136361"",""CENTRO SERVIC. OPERAT. SS. QTO"",""56.95"",""142,779.73"""
"27/05/2019,""001050"",""COSTO IVA CASH"",""D"",""0051136361"",""CENTRO SERVIC. OPERAT. SS. QTO"",""0.05"",""142,836.68"""
"27/05/2019,""001066"",""COSTO OPER CASH"",""D"",""0051136361"",""CENTRO SERVIC. OPERAT. SS. QTO"",""0.45"",""142,836.73"""
"27/05/2019,""001055"",""45964972-CAPREMCI-PT-rendimientos 22"",""D"",""0046410515"",""AG. NORTE"",""965.59"",""142,837.18"""
"27/05/2019,""001055"",""45965203-CAPREMCI-PT-CESANTIAS 22052"",""D"",""0046400461"",""AG. NORTE"",""19,472.36"",""143,802.77"""
"27/05/2019,""001055"",""45965072-CAPREMCI-PT-aporte patronal"",""D"",""0046399164"",""AG. NORTE"",""11,473.05"",""163,275.13"""
"27/05/2019,""001055"",""45959554-CAPREMCI-PT-suscripcion anu"",""D"",""0037193318"",""AG. NORTE"",""355.60"",""174,748.18"""
"27/05/2019,""001055"",""45959521-CAPREMCI-PT-creditos 220520"",""D"",""0037192774"",""AG. NORTE"",""9,752.15"",""175,103.78"""
