"Fecha,""Codigo"",""Concepto"",""Tipo"",""Documento"",""Oficina"",""Monto"",""Saldo"""
"07/05/2019,""001055"",""45226233-COSTO IVA  CASH-CB-179170037600"",""D"",""0000233271"",""SERVICIOS CENTRALE(S)"",""0.05"",""168,652.87"""
"07/05/2019,""001055"",""45226233-COSTO OPER CASH-CB-179170037600"",""D"",""0000233252"",""SERVICIOS CENTRALE(S)"",""0.45"",""168,652.92"""
"07/05/2019,""001055"",""45226233-COSTO IVA  CASH-CB-179170037600"",""D"",""0000233228"",""SERVICIOS CENTRALE(S)"",""5.73"",""168,653.37"""
"07/05/2019,""001055"",""45226233-COSTO OPER CASH-CB-179170037600"",""D"",""0000233204"",""SERVICIOS CENTRALE(S)"",""47.77"",""168,659.10"""
"06/05/2019,""001045"",""45268576-CAPREMCI-CB-"",""C"",""0044141125"",""SERVICIOS CENTRALE(S)"",""200.00"",""168,706.87"""
"06/05/2019,""001045"",""45226289-CAPREMCI-CB-"",""C"",""0044138776"",""SERVICIOS CENTRALE(S)"",""50.51"",""168,506.87"""
"06/05/2019,""001045"",""45226233-CAPREMCI-CB-"",""C"",""0044138680"",""SERVICIOS CENTRALE(S)"",""183.92"",""168,456.36"""
"06/05/2019,""001055"",""45432088-CAPREMCI-PT-honorarios ases"",""D"",""0042312167"",""AG. NORTE"",""1,995.00"",""168,272.44"""
"06/05/2019,""001055"",""45454862-CAPREMCI-PT-honorarios ries"",""D"",""0042311960"",""AG. NORTE"",""1,080.00"",""170,267.44"""
"06/05/2019,""001055"",""45431937-CAPREMCI-PT-honorarios audi"",""D"",""0042311800"",""AG. NORTE"",""1,795.00"",""171,347.44"""
"06/05/2019,""001055"",""45365224-COSTO IVA  CASH-PT-179170037600"",""D"",""0000064083"",""SERVICIOS CENTRALE(S)"",""0.04"",""173,142.44"""
"06/05/2019,""001055"",""45365224-COSTO OPER CASH-PT-179170037600"",""D"",""0000064076"",""SERVICIOS CENTRALE(S)"",""0.36"",""173,142.48"""
"06/05/2019,""001055"",""45365213-COSTO IVA  CASH-PT-179170037600"",""D"",""0000064065"",""SERVICIOS CENTRALE(S)"",""0.04"",""173,142.84"""
"06/05/2019,""001055"",""45365213-COSTO OPER CASH-PT-179170037600"",""D"",""0000064060"",""SERVICIOS CENTRALE(S)"",""0.36"",""173,142.88"""
"06/05/2019,""001055"",""45365156-COSTO IVA  CASH-PT-179170037600"",""D"",""0000064053"",""SERVICIOS CENTRALE(S)"",""0.04"",""173,143.24"""
"06/05/2019,""001055"",""45365156-COSTO OPER CASH-PT-179170037600"",""D"",""0000064049"",""SERVICIOS CENTRALE(S)"",""0.36"",""173,143.28"""
"06/05/2019,""001055"",""45365108-COSTO IVA  CASH-PT-179170037600"",""D"",""0000064044"",""SERVICIOS CENTRALE(S)"",""0.04"",""173,143.64"""
"06/05/2019,""001055"",""45365108-COSTO OPER CASH-PT-179170037600"",""D"",""0000064039"",""SERVICIOS CENTRALE(S)"",""0.36"",""173,143.68"""
"06/05/2019,""001055"",""45343873-COSTO IVA  CASH-RW-179170037600"",""D"",""0000064032"",""SERVICIOS CENTRALE(S)"",""0.30"",""173,144.04"""
"06/05/2019,""001055"",""45343873-COSTO OPER CASH-RW-179170037600"",""D"",""0000064026"",""SERVICIOS CENTRALE(S)"",""2.50"",""173,144.34"""
"06/05/2019,""001055"",""45268576-COSTO IVA  CASH-CB-179170037600"",""D"",""0000064017"",""SERVICIOS CENTRALE(S)"",""0.48"",""173,146.84"""
"06/05/2019,""001055"",""45268576-COSTO OPER CASH-CB-179170037600"",""D"",""0000064011"",""SERVICIOS CENTRALE(S)"",""4.02"",""173,147.32"""
"06/05/2019,""001055"",""45268576-COSTO IVA  CASH-CB-179170037600"",""D"",""0000063996"",""SERVICIOS CENTRALE(S)"",""5.63"",""173,151.34"""
"06/05/2019,""001055"",""45268576-COSTO OPER CASH-CB-179170037600"",""D"",""0000063991"",""SERVICIOS CENTRALE(S)"",""46.87"",""173,156.97"""
"06/05/2019,""001055"",""45226407-COSTO IVA  CASH-CB-179170037600"",""D"",""0000063979"",""SERVICIOS CENTRALE(S)"",""0.05"",""173,203.84"""
"06/05/2019,""001055"",""45226407-COSTO OPER CASH-CB-179170037600"",""D"",""0000063971"",""SERVICIOS CENTRALE(S)"",""0.45"",""173,203.89"""
"06/05/2019,""001055"",""45226289-COSTO IVA  CASH-CB-179170037600"",""D"",""0000063965"",""SERVICIOS CENTRALE(S)"",""0.59"",""173,204.34"""
"06/05/2019,""001055"",""45226289-COSTO OPER CASH-CB-179170037600"",""D"",""0000063959"",""SERVICIOS CENTRALE(S)"",""4.91"",""173,204.93"""
"06/05/2019,""001055"",""45226233-COSTO IVA  CASH-CB-179170037600"",""D"",""0000063945"",""SERVICIOS CENTRALE(S)"",""5.79"",""173,209.84"""
"06/05/2019,""001055"",""45226233-COSTO OPER CASH-CB-179170037600"",""D"",""0000063934"",""SERVICIOS CENTRALE(S)"",""48.21"",""173,215.63"""
"06/05/2019,""001055"",""44962005-COSTO IVA  CASH-CB-179170037600"",""D"",""0000063922"",""SERVICIOS CENTRALE(S)"",""0.16"",""173,263.84"""
"06/05/2019,""001055"",""44962005-COSTO OPER CASH-CB-179170037600"",""D"",""0000063911"",""SERVICIOS CENTRALE(S)"",""1.34"",""173,264.00"""
"06/05/2019,""001055"",""44962005-COSTO IVA  CASH-CB-179170037600"",""D"",""0000063711"",""SERVICIOS CENTRALE(S)"",""4.23"",""173,265.34"""
"06/05/2019,""001055"",""44962005-COSTO OPER CASH-CB-179170037600"",""D"",""0000063701"",""SERVICIOS CENTRALE(S)"",""35.27"",""173,269.57"""
"02/05/2019,""001045"",""45268576-CAPREMCI-CB-"",""C"",""0033360486"",""SERVICIOS CENTRALE(S)"",""443.97"",""173,304.84"""
"02/05/2019,""001045"",""44962005-CAPREMCI-CB-"",""C"",""0033355479"",""SERVICIOS CENTRALE(S)"",""7.58"",""172,860.87"""
"02/05/2019,""001055"",""45316257-EP METROPOLITAN-CB-C|0179170037"",""D"",""0032141259"",""CENTRO SERVIC. OPERAT. SS. QTO"",""174.82"",""172,853.29"""
"02/05/2019,""001050"",""COSTO IVA CASH"",""D"",""0032141259"",""CENTRO SERVIC. OPERAT. SS. QTO"",""0.04"",""173,028.11"""
"02/05/2019,""001066"",""COSTO OPER CASH"",""D"",""0032141259"",""CENTRO SERVIC. OPERAT. SS. QTO"",""0.31"",""173,028.15"""
"02/05/2019,""001055"",""45365224-CAPREMCI-PT-servicio limpie"",""D"",""0026423457"",""AG. NORTE"",""203.20"",""173,028.46"""
"02/05/2019,""001055"",""45365213-CAPREMCI-PT-reembolso refri"",""D"",""0026421763"",""AG. NORTE"",""84.38"",""173,231.66"""
"02/05/2019,""001055"",""45365156-CAPREMCI-PT-notaria 19 proc"",""D"",""0026421086"",""AG. NORTE"",""189.75"",""173,316.04"""
"02/05/2019,""001055"",""45365108-CAPREMCI-PT-honorarios soft"",""D"",""0026421005"",""AG. NORTE"",""985.00"",""173,505.79"""
"02/05/2019,""001055"",""45343873-CAPREMCI-RW-sueldos abril 2"",""D"",""0014066874"",""AG. NORTE"",""6,889.86"",""174,490.79"""
"02/05/2019,""001055"",""45276129-COSTO IVA  CASH-PT-179170037600"",""D"",""0006562930"",""SERVICIOS CENTRALE(S)"",""0.13"",""181,380.65"""
"02/05/2019,""001055"",""45276129-COSTO OPER CASH-PT-179170037600"",""D"",""0006562899"",""SERVICIOS CENTRALE(S)"",""1.07"",""181,380.78"""
"02/05/2019,""001055"",""45276114-COSTO IVA  CASH-PT-179170037600"",""D"",""0006562856"",""SERVICIOS CENTRALE(S)"",""0.09"",""181,381.85"""
"02/05/2019,""001055"",""45276114-COSTO OPER CASH-PT-179170037600"",""D"",""0006562829"",""SERVICIOS CENTRALE(S)"",""0.71"",""181,381.94"""
"02/05/2019,""001055"",""45276093-COSTO IVA  CASH-PT-179170037600"",""D"",""0006561990"",""SERVICIOS CENTRALE(S)"",""0.17"",""181,382.65"""
"02/05/2019,""001055"",""45276093-COSTO OPER CASH-PT-179170037600"",""D"",""0006561964"",""SERVICIOS CENTRALE(S)"",""1.43"",""181,382.82"""
"02/05/2019,""001055"",""45268576-COSTO IVA  CASH-CB-179170037600"",""D"",""0006561924"",""SERVICIOS CENTRALE(S)"",""7.82"",""181,384.25"""
"02/05/2019,""001055"",""45268576-COSTO OPER CASH-CB-179170037600"",""D"",""0006561886"",""SERVICIOS CENTRALE(S)"",""65.18"",""181,392.07"""
"02/05/2019,""001055"",""45268576-COSTO IVA  CASH-CB-179170037600"",""D"",""0006561862"",""SERVICIOS CENTRALE(S)"",""4.98"",""181,457.25"""
"02/05/2019,""001055"",""45268576-COSTO OPER CASH-CB-179170037600"",""D"",""0006561815"",""SERVICIOS CENTRALE(S)"",""41.52"",""181,462.23"""
"02/05/2019,""001055"",""45226407-COSTO IVA  CASH-CB-179170037600"",""D"",""0006561780"",""SERVICIOS CENTRALE(S)"",""0.05"",""181,503.75"""
"02/05/2019,""001055"",""45226407-COSTO OPER CASH-CB-179170037600"",""D"",""0006561724"",""SERVICIOS CENTRALE(S)"",""0.45"",""181,503.80"""
"02/05/2019,""001055"",""45226289-COSTO IVA  CASH-CB-179170037600"",""D"",""0006561679"",""SERVICIOS CENTRALE(S)"",""0.59"",""181,504.25"""
"02/05/2019,""001055"",""45226289-COSTO OPER CASH-CB-179170037600"",""D"",""0006561631"",""SERVICIOS CENTRALE(S)"",""4.91"",""181,504.84"""
"02/05/2019,""001055"",""45226289-COSTO IVA  CASH-CB-179170037600"",""D"",""0006561593"",""SERVICIOS CENTRALE(S)"",""0.59"",""181,509.75"""
"02/05/2019,""001055"",""45226289-COSTO OPER CASH-CB-179170037600"",""D"",""0006561553"",""SERVICIOS CENTRALE(S)"",""4.91"",""181,510.34"""
"02/05/2019,""001055"",""45226233-COSTO IVA  CASH-CB-179170037600"",""D"",""0006561525"",""SERVICIOS CENTRALE(S)"",""0.86"",""181,515.25"""
"02/05/2019,""001055"",""45226233-COSTO OPER CASH-CB-179170037600"",""D"",""0006561464"",""SERVICIOS CENTRALE(S)"",""7.14"",""181,516.11"""
"02/05/2019,""001055"",""45226233-COSTO IVA  CASH-CB-179170037600"",""D"",""0006561415"",""SERVICIOS CENTRALE(S)"",""5.57"",""181,523.25"""
"02/05/2019,""001055"",""45226233-COSTO OPER CASH-CB-179170037600"",""D"",""0006561365"",""SERVICIOS CENTRALE(S)"",""46.43"",""181,528.82"""
"02/05/2019,""001055"",""44962005-COSTO IVA  CASH-CB-179170037600"",""D"",""0006561321"",""SERVICIOS CENTRALE(S)"",""0.16"",""181,575.25"""
"02/05/2019,""001055"",""44962005-COSTO OPER CASH-CB-179170037600"",""D"",""0006561275"",""SERVICIOS CENTRALE(S)"",""1.34"",""181,575.41"""
"02/05/2019,""001055"",""44962005-COSTO IVA  CASH-CB-179170037600"",""D"",""0006561227"",""SERVICIOS CENTRALE(S)"",""4.23"",""181,576.75"""
"02/05/2019,""001055"",""44962005-COSTO OPER CASH-CB-179170037600"",""D"",""0006561184"",""SERVICIOS CENTRALE(S)"",""35.27"",""181,580.98"""
